parm,estimate,min90,max90,分类
T_45,-.095911001953237,-.283441085857169,.0916190819506951,传统文化并不盛行
T_23,-.0540868490079306,-.2206856527259199,.1125119547100586,传统文化并不盛行
T12,.4360598406097509,-.0377170849378685,.9098367661573703,传统文化并不盛行
T34,.1827639381706658,-.084299003847339,.4498268801886707,传统文化并不盛行
T56,.0440889980467629,-.1434410858571692,.231619081950695,传统文化并不盛行
T78,.0936404237193421,-.0729583799986471,.2602392274373314,传统文化并不盛行
T910,.1527777777777781,-.0267216397185686,.3322771952741248,传统文化并不盛行
T_1,0,0,0,传统文化并不盛行
T_45,.0942131560993441,-.1036604046996791,.2920867168983672,传统文化盛行地区
T_23,.0041111595590704,-.1513600082175935,.1595823273357344,传统文化盛行地区
T12,-.0336731723874286,-.4212203504718083,.3538740056969512,传统文化盛行地区
T34,.3111339219076702,.0798427428575761,.5424251009577643,传统文化盛行地区
T56,.167027177532895,-.0271701476523234,.3612245027181135,传统文化盛行地区
T78,.2112719781863131,.0566821128648516,.3658618435077745,传统文化盛行地区
T910,.1632171317356942,.0015791079457678,.3248551555256207,传统文化盛行地区
T_1,0,0,0,传统文化盛行地区
